"Term [en]","Description [en]","Part of Speech [en]","Status [en]","Type [en]","Gender [en]","Note [en]","Term [fr]","Description [fr]","Part of Speech [fr]","Status [fr]","Type [fr]","Gender [fr]","Note [fr]","Term [de]","Description [de]","Part of Speech [de]","Status [de]","Type [de]","Gender [de]","Note [de]","Term [pt-BR]","Description [pt-BR]","Part of Speech [pt-BR]","Status [pt-BR]","Type [pt-BR]","Gender [pt-BR]","Note [pt-BR]","Term [es-ES]","Description [es-ES]","Part of Speech [es-ES]","Status [es-ES]","Type [es-ES]","Gender [es-ES]","Note [es-ES]","Translatable"
"Send push notifications via NTFY",,"noun","preferred",,,,"Envoyer des notifications push via NTFY",,"noun","preferred",,,,"Push-Benachrichtigungen über NTFY senden",,"noun","preferred",,,,"Enviar notificações push via NTFY",,"noun","preferred",,,,"Enviar notificaciones push vía NTFY",,"noun","preferred",,,,"Yes"
"Send Reset Link",,"noun","preferred",,,,"Envoyer le lien de réinitialisation",,"noun","preferred",,,,"Reset-Link senden",,"noun","preferred",,,,"Enviar link de redefinição",,"noun","preferred",,,,"Enviar enlace de restablecimiento",,"noun","preferred",,,,"Yes"
"Send Test",,"noun","preferred",,,,"Envoyer le test",,"noun","preferred",,,,"Test senden",,"noun","preferred",,,,"Enviar teste",,"noun","preferred",,,,"Enviar prueba",,"noun","preferred",,,,"Yes"
"Send Test Email",,"noun","preferred",,,,"Envoyer un e-mail de test",,"noun","preferred",,,,"Test-E-Mail senden",,"noun","preferred",,,,"Enviar e-mail de teste",,"noun","preferred",,,,"Enviar correo de prueba",,"noun","preferred",,,,"Yes"
"Send Test Message",,"noun","preferred",,,,"Envoyer un message de test",,"noun","preferred",,,,"Testnachricht senden",,"noun","preferred",,,,"Enviar mensagem de teste",,"noun","preferred",,,,"Enviar mensaje de prueba",,"noun","preferred",,,,"Yes"
"Send Test Notification",,"noun","preferred",,,,"Envoyer une notification de test",,"noun","preferred",,,,"Testbenachrichtigung senden",,"noun","preferred",,,,"Enviar notificação de teste",,"noun","preferred",,,,"Enviar notificación de prueba",,"noun","preferred",,,,"Yes"
"Sender Name (optional)",,"noun","preferred",,,,"Nom de l'expéditeur (optionnel)",,"noun","preferred",,,,"Absendername (optional)",,"noun","preferred",,,,"Nome do remetente (opcional)",,"noun","preferred",,,,"Nombre del remitente (opcional)",,"noun","preferred",,,,"Yes"
"Sent successfully",,"noun","preferred",,,,"Envoyé avec succès",,"noun","preferred",,,,"Erfolgreich gesendet",,"noun","preferred",,,,"Enviado com sucesso",,"noun","preferred",,,,"Enviado exitosamente",,"noun","preferred",,,,"Yes"
"Server",,"noun","preferred",,,,"Serveur",,"noun","preferred",,,,"Server",,"noun","preferred",,,,"Servidor",,"noun","preferred",,,,"Servidor",,"noun","preferred",,,,"Yes"
"Server  is offline",,"noun","preferred",,,,"Le serveur  est hors ligne",,"noun","preferred",,,,"Server  ist offline",,"noun","preferred",,,,"O servidor  está offline",,"noun","preferred",,,,"El servidor  está fuera de línea",,"noun","preferred",,,,"Yes"
"Server """" deleted",,"noun","preferred",,,,"Serveur """" supprimé",,"noun","preferred",,,,"Server """" gelöscht",,"noun","preferred",,,,"Servidor """" excluído",,"noun","preferred",,,,"Servidor """" eliminado",,"noun","preferred",,,,"Yes"
"Server / Backup",,"noun","preferred",,,,"Serveur / Sauvegarde",,"noun","preferred",,,,"Server / Sicherung",,"noun","preferred",,,,"Servidor / Backup",,"noun","preferred",,,,"Servidor / Backup",,"noun","preferred",,,,"Yes"
"Server added successfully",,"noun","preferred",,,,"Serveur ajouté avec succès",,"noun","preferred",,,,"Server erfolgreich hinzugefügt",,"noun","preferred",,,,"Servidor adicionado com sucesso",,"noun","preferred",,,,"Servidor agregado exitosamente",,"noun","preferred",,,,"Yes"
"Server Address",,"noun","preferred",,,,"Adresse du serveur",,"noun","preferred",,,,"Serveradresse",,"noun","preferred",,,,"Endereço do servidor",,"noun","preferred",,,,"Dirección del servidor",,"noun","preferred",,,,"Yes"
"Server Addresses",,"noun","preferred",,,,"Adresses des serveurs",,"noun","preferred",,,,"Server-Adressen",,"noun","preferred",,,,"Endereços de servidores",,"noun","preferred",,,,"Direcciones de servidores",,"noun","preferred",,,,"Yes"
"Server alias",,"noun","preferred",,,,"Alias du serveur",,"noun","preferred",,,,"Server-Alias",,"noun","preferred",,,,"Apelido do servidor",,"noun","preferred",,,,"Alias del servidor",,"noun","preferred",,,,"Yes"
"Server configuration updated",,"noun","preferred",,,,"Configuration du serveur mise à jour",,"noun","preferred",,,,"Serverkonfiguration aktualisiert",,"noun","preferred",,,,"Configuração do servidor atualizada",,"noun","preferred",,,,"Configuración del servidor actualizada",,"noun","preferred",,,,"Yes"
"Server connected successfully",,"noun","preferred",,,,"Serveur connecté avec succès",,"noun","preferred",,,,"Server erfolgreich verbunden",,"noun","preferred",,,,"Servidor conectado com sucesso",,"noun","preferred",,,,"Servidor conectado exitosamente",,"noun","preferred",,,,"Yes"
"Server connection test passed",,"noun","preferred",,,,"Test de connexion au serveur réussi",,"noun","preferred",,,,"Server-Verbindungstest bestanden",,"noun","preferred",,,,"Teste de conexão do servidor passou",,"noun","preferred",,,,"Prueba de conexión del servidor exitosa",,"noun","preferred",,,,"Yes"
"Server deleted successfully",,"noun","preferred",,,,"Serveur supprimé avec succès",,"noun","preferred",,,,"Server erfolgreich gelöscht",,"noun","preferred",,,,"Servidor excluído com sucesso",,"noun","preferred",,,,"Servidor eliminado exitosamente",,"noun","preferred",,,,"Yes"
"Server details updated successfully",,"noun","preferred",,,,"Détails du serveur mis à jour avec succès",,"noun","preferred",,,,"Server-Details erfolgreich aktualisiert",,"noun","preferred",,,,"Detalhes do servidor atualizados com sucesso",,"noun","preferred",,,,"Detalles del servidor actualizados exitosamente",,"noun","preferred",,,,"Yes"
"Server disconnected",,"noun","preferred",,,,"Serveur déconnecté",,"noun","preferred",,,,"Server getrennt",,"noun","preferred",,,,"Servidor desconectado",,"noun","preferred",,,,"Servidor desconectado",,"noun","preferred",,,,"Yes"
"Server Error",,"noun","preferred",,,,"Erreur serveur",,"noun","preferred",,,,"Serverfehler",,"noun","preferred",,,,"Erro do servidor",,"noun","preferred",,,,"Error del servidor",,"noun","preferred",,,,"Yes"
"Server Errors Detected",,"noun","preferred",,,,"Erreurs serveur détectées",,"noun","preferred",,,,"Serverfehler erkannt",,"noun","preferred",,,,"Erros de servidor detectados",,"noun","preferred",,,,"Errores de servidor detectados",,"noun","preferred",,,,"Yes"
"Server ID",,"noun","preferred",,,,"ID du serveur",,"noun","preferred",,,,"Server-ID",,"noun","preferred",,,,"ID do servidor",,"noun","preferred",,,,"ID del servidor",,"noun","preferred",,,,"Yes"
"Server is offline",,"noun","preferred",,,,"Le serveur est hors ligne",,"noun","preferred",,,,"Server ist offline",,"noun","preferred",,,,"O servidor está offline",,"noun","preferred",,,,"El servidor está fuera de línea",,"noun","preferred",,,,"Yes"
"Server is online",,"noun","preferred",,,,"Le serveur est en ligne",,"noun","preferred",,,,"Server ist online",,"noun","preferred",,,,"O servidor está online",,"noun","preferred",,,,"El servidor está en línea",,"noun","preferred",,,,"Yes"
"Server List Updated",,"noun","preferred",,,,"Liste des serveurs mise à jour",,"noun","preferred",,,,"Serverliste aktualisiert",,"noun","preferred",,,,"Lista de servidores atualizada",,"noun","preferred",,,,"Lista de servidores actualizada",,"noun","preferred",,,,"Yes"
"Server Management",,"noun","preferred",,,,"Gestion des serveurs",,"noun","preferred",,,,"Serververwaltung",,"noun","preferred",,,,"Gerenciamento de servidores",,"noun","preferred",,,,"Gestión de servidores",,"noun","preferred",,,,"Yes"
"Server Name",,"noun","preferred",,,,"Nom du serveur",,"noun","preferred",,,,"Servername",,"noun","preferred",,,,"Nome do servidor",,"noun","preferred",,,,"Nombre del servidor",,"noun","preferred",,,,"Yes"
"Server name (a-z)",,"noun","preferred",,,,"Nom du serveur (a-z)",,"noun","preferred",,,,"Servername (a-z)",,"noun","preferred",,,,"Nome do servidor (a-z)",,"noun","preferred",,,,"Nombre del servidor (a-z)",,"noun","preferred",,,,"Yes"
"Server notifications updated",,"noun","preferred",,,,"Notifications du serveur mises à jour",,"noun","preferred",,,,"Serverbenachrichtigungen aktualisiert",,"noun","preferred",,,,"Notificações do servidor atualizadas",,"noun","preferred",,,,"Notificaciones del servidor actualizadas",,"noun","preferred",,,,"Yes"
"Server Offline",,"noun","preferred",,,,"Serveur hors ligne",,"noun","preferred",,,,"Server offline",,"noun","preferred",,,,"Servidor offline",,"noun","preferred",,,,"Servidor fuera de línea",,"noun","preferred",,,,"Yes"
"Server Offline Alert",,"noun","preferred",,,,"Alerte serveur hors ligne",,"noun","preferred",,,,"Server-Offline-Warnung",,"noun","preferred",,,,"Alerta de Servidor Offline",,"noun","preferred",,,,"Alerta de servidor fuera de línea",,"noun","preferred",,,,"Yes"
"Server Online",,"noun","preferred",,,,"Serveur en ligne",,"noun","preferred",,,,"Server online",,"noun","preferred",,,,"Servidor Online",,"noun","preferred",,,,"Servidor en línea",,"noun","preferred",,,,"Yes"
"Server Online Alert",,"noun","preferred",,,,"Alerte serveur en ligne",,"noun","preferred",,,,"Server-Online-Warnung",,"noun","preferred",,,,"Alerta de Servidor Online",,"noun","preferred",,,,"Alerta de servidor en línea",,"noun","preferred",,,,"Yes"
"Server settings updated",,"noun","preferred",,,,"Paramètres du serveur mis à jour",,"noun","preferred",,,,"Servereinstellungen aktualisiert",,"noun","preferred",,,,"Configurações do servidor atualizadas",,"noun","preferred",,,,"Configuración del servidor actualizada",,"noun","preferred",,,,"Yes"
"Server Status",,"noun","preferred",,,,"Statut du serveur",,"noun","preferred",,,,"Serverstatus",,"noun","preferred",,,,"Status do servidor",,"noun","preferred",,,,"Estado del servidor",,"noun","preferred",,,,"Yes"
"Server status updated",,"noun","preferred",,,,"Statut du serveur mis à jour",,"noun","preferred",,,,"Serverstatus aktualisiert",,"noun","preferred",,,,"Status do servidor atualizado",,"noun","preferred",,,,"Estado del servidor actualizado",,"noun","preferred",,,,"Yes"
"Server Type",,"noun","preferred",,,,"Type de serveur",,"noun","preferred",,,,"Servertyp",,"noun","preferred",,,,"Tipo de servidor",,"noun","preferred",,,,"Tipo de servidor",,"noun","preferred",,,,"Yes"
"Server updated successfully",,"noun","preferred",,,,"Serveur mis à jour avec succès",,"noun","preferred",,,,"Server erfolgreich aktualisiert",,"noun","preferred",,,,"Servidor atualizado com sucesso",,"noun","preferred",,,,"Servidor actualizado exitosamente",,"noun","preferred",,,,"Yes"
"servers",,"noun","preferred",,,,"serveurs",,"noun","preferred",,,,"Server",,"noun","preferred",,,,"servidores",,"noun","preferred",,,,"servidores",,"noun","preferred",,,,"Yes"
"Servers merged successfully",,"noun","preferred",,,,"Serveurs fusionnés avec succès",,"noun","preferred",,,,"Server erfolgreich zusammengeführt",,"noun","preferred",,,,"Servidores mesclados com sucesso",,"noun","preferred",,,,"Servidores fusionados exitosamente",,"noun","preferred",,,,"Yes"
"Servers settings",,"noun","preferred",,,,"Paramètres des serveurs",,"noun","preferred",,,,"Server-Einstellungen",,"noun","preferred",,,,"Configurações de servidores",,"noun","preferred",,,,"Configuración de servidores",,"noun","preferred",,,,"Yes"
"Service temporarily unavailable",,"noun","preferred",,,,"Service temporairement indisponible",,"noun","preferred",,,,"Dienst vorübergehend nicht verfügbar",,"noun","preferred",,,,"Serviço temporariamente indisponível",,"noun","preferred",,,,"Servicio temporalmente no disponible",,"noun","preferred",,,,"Yes"
"Session created successfully",,"noun","preferred",,,,"Session créée avec succès",,"noun","preferred",,,,"Sitzung erfolgreich erstellt",,"noun","preferred",,,,"Sessão criada com sucesso",,"noun","preferred",,,,"Sesión creada exitosamente",,"noun","preferred",,,,"Yes"
"Session expired",,"noun","preferred",,,,"Session expirée",,"noun","preferred",,,,"Sitzung abgelaufen",,"noun","preferred",,,,"Sessão expirou",,"noun","preferred",,,,"Sesión expirada",,"noun","preferred",,,,"Yes"
"Session terminated successfully",,"noun","preferred",,,,"Session terminée avec succès",,"noun","preferred",,,,"Sitzung erfolgreich beendet",,"noun","preferred",,,,"Sessão encerrada com sucesso",,"noun","preferred",,,,"Sesión terminada exitosamente",,"noun","preferred",,,,"Yes"
"Set Password",,"noun","preferred",,,,"Définir le mot de passe",,"noun","preferred",,,,"Passwort festlegen",,"noun","preferred",,,,"Definir senha",,"noun","preferred",,,,"Establecer contraseña",,"noun","preferred",,,,"Yes"
"Set the default currency for financial values",,"noun","preferred",,,,"Définir la devise par défaut pour les valeurs financières",,"noun","preferred",,,,"Standardwährung für Finanzwerte festlegen",,"noun","preferred",,,,"Definir a moeda padrão para valores financeiros",,"noun","preferred",,,,"Establecer la moneda predeterminada para valores financieros",,"noun","preferred",,,,"Yes"
"Set the timezone for date/time display",,"noun","preferred",,,,"Définir le fuseau horaire pour l'affichage de la date/heure",,"noun","preferred",,,,"Zeitzone für Datum/Uhrzeit-Anzeige einstellen",,"noun","preferred",,,,"Definir o fuso horário para exibição de data/hora",,"noun","preferred",,,,"Establecer la zona horaria para la visualización de fecha/hora",,"noun","preferred",,,,"Yes"
"Settings",,"noun","preferred",,,,"Paramètres",,"noun","preferred",,,,"Einstellungen",,"noun","preferred",,,,"Configurações",,"noun","preferred",,,,"Configuración",,"noun","preferred",,,,"Yes"
"Settings Deleted",,"noun","preferred",,,,"Paramètres supprimés",,"noun","preferred",,,,"Einstellungen gelöscht",,"noun","preferred",,,,"Configurações excluídas",,"noun","preferred",,,,"Configuración eliminada",,"noun","preferred",,,,"Yes"
"Settings reset to default",,"noun","preferred",,,,"Paramètres réinitialisés par défaut",,"noun","preferred",,,,"Einstellungen auf Standard zurückgesetzt",,"noun","preferred",,,,"Configurações redefinidas para o padrão",,"noun","preferred",,,,"Configuración restablecida a valores predeterminados",,"noun","preferred",,,,"Yes"
"Settings Saved",,"noun","preferred",,,,"Paramètres enregistrés",,"noun","preferred",,,,"Einstellungen gespeichert",,"noun","preferred",,,,"Configurações salvas",,"noun","preferred",,,,"Configuración guardada",,"noun","preferred",,,,"Yes"
"Settings saved successfully",,"noun","preferred",,,,"Paramètres enregistrés avec succès",,"noun","preferred",,,,"Einstellungen erfolgreich gespeichert",,"noun","preferred",,,,"Configurações salvas com sucesso",,"noun","preferred",,,,"Configuración guardada exitosamente",,"noun","preferred",,,,"Yes"
"Settings/Actions",,"noun","preferred",,,,"Paramètres/Actions",,"noun","preferred",,,,"Einstellungen/Aktionen",,"noun","preferred",,,,"Configurações/Ações",,"noun","preferred",,,,"Configuración/Acciones",,"noun","preferred",,,,"Yes"
"Severity",,"noun","preferred",,,,"Gravité",,"noun","preferred",,,,"Schweregrad",,"noun","preferred",,,,"Severidade",,"noun","preferred",,,,"Severidad",,"noun","preferred",,,,"Yes"
"Show",,"verb","preferred",,,,"Afficher",,"verb","preferred",,,,"Einblenden",,"verb","preferred",,,,"Mostrar",,"verb","preferred",,,,"Mostrar",,"verb","preferred",,,,"Yes"
"Show All",,"noun","preferred",,,,"Afficher tout",,"noun","preferred",,,,"Alle anzeigen",,"noun","preferred",,,,"Mostrar todos",,"noun","preferred",,,,"Mostrar todo",,"noun","preferred",,,,"Yes"
"Show Failed",,"noun","preferred",,,,"Afficher les échoués",,"noun","preferred",,,,"Fehlgeschlagene anzeigen",,"noun","preferred",,,,"Mostrar com falha",,"noun","preferred",,,,"Mostrar fallidos",,"noun","preferred",,,,"Yes"
"Show Offline Only",,"noun","preferred",,,,"Afficher uniquement hors ligne",,"noun","preferred",,,,"Nur Offline anzeigen",,"noun","preferred",,,,"Mostrar apenas offline",,"noun","preferred",,,,"Mostrar solo fuera de línea",,"noun","preferred",,,,"Yes"
"Show Online Only",,"noun","preferred",,,,"Afficher uniquement en ligne",,"noun","preferred",,,,"Nur Online anzeigen",,"noun","preferred",,,,"Mostrar apenas online",,"noun","preferred",,,,"Mostrar solo en línea",,"noun","preferred",,,,"Yes"
"Show password",,"noun","preferred",,,,"Afficher le mot de passe",,"noun","preferred",,,,"Passwort anzeigen",,"noun","preferred",,,,"Mostrar senha",,"noun","preferred",,,,"Mostrar contraseña",,"noun","preferred",,,,"Yes"
"Show Pending",,"noun","preferred",,,,"Afficher en attente",,"noun","preferred",,,,"Ausstehende anzeigen",,"noun","preferred",,,,"Mostrar pendentes",,"noun","preferred",,,,"Mostrar pendientes",,"noun","preferred",,,,"Yes"
"Show Successful",,"noun","preferred",,,,"Afficher les réussis",,"noun","preferred",,,,"Erfolgreiche anzeigen",,"noun","preferred",,,,"Mostrar bem-sucedidos",,"noun","preferred",,,,"Mostrar exitosos",,"noun","preferred",,,,"Yes"
"Showing all messages ()",,"noun","preferred",,,,"Affichage de tous les messages ()",,"noun","preferred",,,,"Alle Nachrichten anzeigen ()",,"noun","preferred",,,,"Mostrando todas as mensagens ()",,"noun","preferred",,,,"Mostrando todos los mensajes ()",,"noun","preferred",,,,"Yes"
"Sign in to your account",,"noun","preferred",,,,"Connectez-vous à votre compte",,"noun","preferred",,,,"Melden Sie sich bei Ihrem Konto an",,"noun","preferred",,,,"Entre na sua conta",,"noun","preferred",,,,"Inicie sesión en su cuenta",,"noun","preferred",,,,"Yes"
"Size",,"noun","preferred",,,,"Taille",,"noun","preferred",,,,"Größe",,"noun","preferred",,,,"Tamanho",,"noun","preferred",,,,"Tamaño",,"noun","preferred",,,,"Yes"
"Size of uploaded data",,"noun","preferred",,,,"Taille des données téléversées",,"noun","preferred",,,,"Größe der hochgeladenen Daten",,"noun","preferred",,,,"Tamanho dos dados enviados",,"noun","preferred",,,,"Tamaño de datos enviados",,"noun","preferred",,,,"Yes"
"Skip",,"noun","preferred",,,,"Ignorer",,"noun","preferred",,,,"Überspringen",,"noun","preferred",,,,"Pular",,"noun","preferred",,,,"Omitir",,"noun","preferred",,,,"Yes"
"Skipped:  duplicates",,"noun","preferred",,,,"Ignorés:  doublons",,"noun","preferred",,,,"Übersprungen:  Duplikate",,"noun","preferred",,,,"Ignorados:  duplicados",,"noun","preferred",,,,"Omitidos:  duplicados",,"noun","preferred",,,,"Yes"
"SMTP email passwords (in Email Settings)",,"noun","preferred",,,,"Mots de passe SMTP (dans les paramètres de messagerie)",,"noun","preferred",,,,"SMTP-E-Mail-Passwörter (in E-Mail-Einstellungen)",,"noun","preferred",,,,"Senhas de e-mail SMTP (em Configurações de e-mail)",,"noun","preferred",,,,"Contraseñas de correo SMTP (en Configuración de correo)",,"noun","preferred",,,,"Yes"
"SMTP Encryption",,"noun","preferred",,,,"Chiffrement SMTP",,"noun","preferred",,,,"SMTP-Verschlüsselung",,"noun","preferred",,,,"Criptografia SMTP",,"noun","preferred",,,,"Cifrado SMTP",,"noun","preferred",,,,"Yes"
"SMTP Host",,"noun","preferred",,,,"Hôte SMTP",,"noun","preferred",,,,"SMTP-Host",,"noun","preferred",,,,"Host SMTP",,"noun","preferred",,,,"Host SMTP",,"noun","preferred",,,,"Yes"
"SMTP Password",,"noun","preferred",,,,"Mot de passe SMTP",,"noun","preferred",,,,"SMTP-Passwort",,"noun","preferred",,,,"Senha SMTP",,"noun","preferred",,,,"Contraseña SMTP",,"noun","preferred",,,,"Yes"
"SMTP Port",,"noun","preferred",,,,"Port SMTP",,"noun","preferred",,,,"SMTP-Port",,"noun","preferred",,,,"Porta SMTP",,"noun","preferred",,,,"Puerto SMTP",,"noun","preferred",,,,"Yes"
"SMTP Server Hostname",,"noun","preferred",,,,"Nom d'hôte du serveur SMTP",,"noun","preferred",,,,"SMTP-Server-Hostname",,"noun","preferred",,,,"Nome do host do servidor SMTP",,"noun","preferred",,,,"Nombre de host del servidor SMTP",,"noun","preferred",,,,"Yes"
"SMTP Server Password",,"noun","preferred",,,,"Mot de passe du serveur SMTP",,"noun","preferred",,,,"SMTP-Server-Passwort",,"noun","preferred",,,,"Senha do servidor SMTP",,"noun","preferred",,,,"Contraseña del servidor SMTP",,"noun","preferred",,,,"Yes"
"SMTP Server Port",,"noun","preferred",,,,"Port du serveur SMTP",,"noun","preferred",,,,"SMTP-Server-Port",,"noun","preferred",,,,"Porta do servidor SMTP",,"noun","preferred",,,,"Puerto del servidor SMTP",,"noun","preferred",,,,"Yes"
"SMTP Server requires authentication",,"noun","preferred",,,,"Le serveur SMTP nécessite une authentification",,"noun","preferred",,,,"SMTP-Server erfordert Authentifizierung",,"noun","preferred",,,,"O servidor SMTP requer autenticação",,"noun","preferred",,,,"El servidor SMTP requiere autenticación",,"noun","preferred",,,,"Yes"
"SMTP Server Username",,"noun","preferred",,,,"Nom d'utilisateur du serveur SMTP",,"noun","preferred",,,,"SMTP-Server-Benutzername",,"noun","preferred",,,,"Nome de usuário do servidor SMTP",,"noun","preferred",,,,"Nombre de usuario del servidor SMTP",,"noun","preferred",,,,"Yes"
"SMTP settings have been deleted successfully.",,"noun","preferred",,,,"Les paramètres SMTP ont été supprimés avec succès.",,"noun","preferred",,,,"SMTP-Einstellungen wurden erfolgreich gelöscht.",,"noun","preferred",,,,"As configurações SMTP foram excluídas com sucesso.",,"noun","preferred",,,,"La configuración SMTP se ha eliminado exitosamente.",,"noun","preferred",,,,"Yes"
"SMTP settings saved successfully!",,"noun","preferred",,,,"Paramètres SMTP enregistrés avec succès!",,"noun","preferred",,,,"SMTP-Einstellungen erfolgreich gespeichert!",,"noun","preferred",,,,"Configurações SMTP salvas com sucesso!",,"noun","preferred",,,,"¡Configuración SMTP guardada exitosamente!",,"noun","preferred",,,,"Yes"
"SMTP Username",,"noun","preferred",,,,"Nom d'utilisateur SMTP",,"noun","preferred",,,,"SMTP-Benutzername",,"noun","preferred",,,,"Nome de usuário SMTP",,"noun","preferred",,,,"Nombre de usuario SMTP",,"noun","preferred",,,,"Yes"
"SQL Dump (.sql)",,"noun","preferred",,,,"Dump SQL (.sql)",,"noun","preferred",,,,"SQL-Dump (.sql)",,"noun","preferred",,,,"Dump SQL (.sql)",,"noun","preferred",,,,"Volcado SQL (.sql)",,"noun","preferred",,,,"Yes"
"SSH private key for authentication",,"noun","preferred",,,,"Clé privée SSH pour l'authentification",,"noun","preferred",,,,"SSH-Privatschlüssel für Authentifizierung",,"noun","preferred",,,,"Chave privada SSH para autenticação",,"noun","preferred",,,,"Clave privada SSH para autenticación",,"noun","preferred",,,,"Yes"
"Start",,"verb","preferred",,,,"Démarrer",,"verb","preferred",,,,"Starten",,"verb","preferred",,,,"Iniciar",,"verb","preferred",,,,"Iniciar",,"verb","preferred",,,,"Yes"
"Start Date",,"noun","preferred",,,,"Date de début",,"noun","preferred",,,,"Startdatum",,"noun","preferred",,,,"Data de início",,"noun","preferred",,,,"Fecha de inicio",,"noun","preferred",,,,"Yes"
"Start Time",,"noun","preferred",,,,"Heure de début",,"noun","preferred",,,,"Startzeit",,"noun","preferred",,,,"Hora de início",,"noun","preferred",,,,"Hora de inicio",,"noun","preferred",,,,"Yes"
"Started successfully",,"noun","preferred",,,,"Démarré avec succès",,"noun","preferred",,,,"Erfolgreich gestartet",,"noun","preferred",,,,"Iniciado com sucesso",,"noun","preferred",,,,"Iniciado exitosamente",,"noun","preferred",,,,"Yes"
"Starting Collection",,"noun","preferred",,,,"Démarrage de la collecte",,"noun","preferred",,,,"Sammlung starten",,"noun","preferred",,,,"Iniciando coleta",,"noun","preferred",,,,"Iniciando recopilación",,"noun","preferred",,,,"Yes"
"STARTTLS",,"noun","preferred",,,,"STARTTLS",,"noun","preferred",,,,"STARTTLS",,"noun","preferred",,,,"STARTTLS",,"noun","preferred",,,,"STARTTLS",,"noun","preferred",,,,"Yes"
"Statistics",,"noun","preferred",,,,"Statistiques",,"noun","preferred",,,,"Statistiken",,"noun","preferred",,,,"Estatísticas",,"noun","preferred",,,,"Estadísticas",,"noun","preferred",,,,"Yes"
"Status",,"noun","preferred",,,,"Statut",,"noun","preferred",,,,"Status",,"noun","preferred",,,,"Status",,"noun","preferred",,,,"Estado",,"noun","preferred",,,,"Yes"
"Status (error > warning > success)",,"noun","preferred",,,,"Statut (erreur > avertissement > succès)",,"noun","preferred",,,,"Status (Fehler > Warnung > Erfolg)",,"noun","preferred",,,,"Status (erro > aviso > sucesso)",,"noun","preferred",,,,"Estado (error > advertencia > éxito)",,"noun","preferred",,,,"Yes"
"Status (error>warnings>success)",,"noun","preferred",,,,"Statut (erreur>avertissements>succès)",,"noun","preferred",,,,"Status (Fehler>Warnungen>Erfolg)",,"noun","preferred",,,,"Status (erro>avisos>sucesso)",,"noun","preferred",,,,"Estado (error>advertencias>éxito)",,"noun","preferred",,,,"Yes"
"Stop",,"verb","preferred",,,,"Arrêter",,"verb","preferred",,,,"Stoppen",,"verb","preferred",,,,"Parar",,"verb","preferred",,,,"Detener",,"verb","preferred",,,,"Yes"
"Stopped successfully",,"noun","preferred",,,,"Arrêté avec succès",,"noun","preferred",,,,"Erfolgreich gestoppt",,"noun","preferred",,,,"Parado com sucesso",,"noun","preferred",,,,"Detenido exitosamente",,"noun","preferred",,,,"Yes"
"Storage",,"noun","preferred",,,,"Stockage",,"noun","preferred",,,,"Speicherplatz",,"noun","preferred",,,,"Armazenamento",,"noun","preferred",,,,"Almacenamiento",,"noun","preferred",,,,"Yes"
"Storage Size",,"noun","preferred",,,,"Taille de stockage",,"noun","preferred",,,,"Speichergröße",,"noun","preferred",,,,"Tamanho de armazenamento",,"noun","preferred",,,,"Tamaño de almacenamiento",,"noun","preferred",,,,"Yes"
"Storage size used",,"noun","preferred",,,,"Taille de stockage utilisée",,"noun","preferred",,,,"Verwendete Speichergröße",,"noun","preferred",,,,"Tamanho de armazenamento usado",,"noun","preferred",,,,"Tamaño de almacenamiento usado",,"noun","preferred",,,,"Yes"
"stored hostname, change if needed",,"noun","preferred",,,,"nom d'hôte stocké, modifier si nécessaire",,"noun","preferred",,,,"gespeicherter Hostname, bei Bedarf ändern",,"noun","preferred",,,,"nome do host armazenado, alterar se necessário",,"noun","preferred",,,,"nombre de host almacenado, cambiar si es necesario",,"noun","preferred",,,,"Yes"
"Submit",,"verb","preferred",,,,"Soumettre",,"verb","preferred",,,,"Absenden",,"verb","preferred",,,,"Enviar",,"verb","preferred",,,,"Enviar",,"verb","preferred",,,,"Yes"
"Success",,"noun","preferred",,,,"Succès",,"noun","preferred",,,,"Erfolg",,"noun","preferred",,,,"Sucesso",,"noun","preferred",,,,"Éxito",,"noun","preferred",,,,"Yes"
"Success Notification Template",,"noun","preferred",,,,"Modèle de notification de succès",,"noun","preferred",,,,"Erfolgs-Benachrichtigungsvorlage",,"noun","preferred",,,,"Modelo de notificação de sucesso",,"noun","preferred",,,,"Plantilla de notificación de éxito",,"noun","preferred",,,,"Yes"
"Success Rate",,"noun","preferred",,,,"Taux de réussite",,"noun","preferred",,,,"Erfolgsquote",,"noun","preferred",,,,"Taxa de sucesso",,"noun","preferred",,,,"Tasa de éxito",,"noun","preferred",,,,"Yes"
"Successful",,"noun","preferred",,,,"Réussi",,"noun","preferred",,,,"Erfolgreich",,"noun","preferred",,,,"Bem-sucedido",,"noun","preferred",,,,"Exitoso",,"noun","preferred",,,,"Yes"
"Successful Backups",,"noun","preferred",,,,"Sauvegardes réussies",,"noun","preferred",,,,"Erfolgreiche Sicherungen",,"noun","preferred",,,,"Backups bem-sucedidos",,"noun","preferred",,,,"Backups exitosos",,"noun","preferred",,,,"Yes"
"Switch to Analytics",,"noun","preferred",,,,"Passer à l'analyse",,"noun","preferred",,,,"Zur Analyse wechseln",,"noun","preferred",,,,"Alternar para análise",,"noun","preferred",,,,"Cambiar a análisis",,"noun","preferred",,,,"Yes"
"Switch to chart view",,"noun","preferred",,,,"Passer à la vue graphique",,"noun","preferred",,,,"Zur Diagrammansicht wechseln",,"noun","preferred",,,,"Mudar para visualização de gráfico",,"noun","preferred",,,,"Cambiar a vista de gráfico",,"noun","preferred",,,,"Yes"
