"en","fr","de","pt-BR","es"
"NTFY Access Token (Optional)","Jeton d'accès NTFY (Optionnel)","NTFY-Zugriffstoken (Optional)","Token de acesso NTFY (Opcional)","Token de acceso NTFY (Opcional)"
"NTFY authentication","documentation d'authentification NTFY","NTFY-Authentifizierungs","documentação de autenticação NTFY","documentación de autenticación NTFY"
"NTFY Configuration","Configuration NTFY","NTFY-Konfiguration","Configuração NTFY","Configuración NTFY"
"NTFY Configuration QR Code","Code QR de configuration NTFY","NTFY-Konfigurations-QR-Code","Código QR de configuração NTFY","Código QR de configuración NTFY"
"NTFY Notifications","Notifications NTFY","NTFY-Benachrichtigungen","Notificações NTFY","Notificaciones NTFY"
"NTFY Priority","Priorité NTFY","NTFY-Priorität","Prioridade NTFY","Prioridad NTFY"
"NTFY Tags","Étiquettes NTFY","NTFY-Tags","Tags NTFY","Etiquetas NTFY"
"NTFY Topic","Sujet NTFY","NTFY-Thema","Tópico NTFY","Tema NTFY"
"NTFY topic not configured","Sujet NTFY non configuré","NTFY-Thema nicht konfiguriert","Tópico NTFY não configurado","Tema NTFY no configurado"
"NTFY URL","URL NTFY","NTFY-URL","URL NTFY","URL NTFY"
"Number Format","Format des nombres","Zahlenformat","Formato de números","Formato de números"
"Number of available versions","Nombre de versions disponibles","Anzahl der verfügbaren Versionen","Número de versões disponíveis","Número de versiones disponibles"
"Number of errors","Nombre d'erreurs","Anzahl der Fehler","Número de erros","Número de errores"
"Number of files processed","Nombre de fichiers traités","Anzahl der verarbeiteten Dateien","Número de arquivos processados","Número de archivos procesados"
"Number of messages","Nombre de messages","Anzahl der Nachrichten","Número de mensagens","Número de mensajes"
"Number of warnings","Nombre d'avertissements","Anzahl der Warnungen","Número de avisos","Número de advertencias"
"Offline","Hors ligne","Offline","Offline","Fuera de línea"
"Offline Duration","Durée hors ligne","Offline-Dauer","Duração Offline","Duración fuera de línea"
"Offline Servers","Serveurs hors ligne","Server offline","Servidores offline","Servidores fuera de línea"
"Offline Since","Hors ligne depuis","Offline seit","Offline Desde","Fuera de línea desde"
"OK","OK","OK","OK","OK"
"Old records have been successfully removed.","Les anciens enregistrements ont été supprimés avec succès.","Alte Datensätze wurden erfolgreich entfernt.","Os logs antigos foram removidos com sucesso.","Los logs antiguos se han eliminado exitosamente."
"Old Server ID","Ancien ID de serveur","Alte Server-ID","ID do servidor antigo","ID de servidor antiguo"
"One time","Une fois","Einmalig","Uma vez","Una vez"
"Online","En ligne","Online","Online","En línea"
"Online Servers","Serveurs en ligne","Server online","Servidores online","Servidores en línea"
"only fill if password changed","remplir uniquement si le mot de passe a changé","nur ausfüllen, wenn Passwort geändert wurde","preencher apenas se a senha mudou","solo completar si la contraseña cambió"
"Open Duplicati Configuration","Ouvrir la configuration Duplicati","Duplicati-Konfiguration öffnen","Abrir configuração do Duplicati","Abrir configuración de Duplicati"
"Open Duplicati configuration (Right-click for old UI)","Ouvrir la configuration Duplicati (Clic droit pour l'ancienne UI)","Duplicati-Konfiguration öffnen (Rechtsklick für alte UI)","Abrir configuração do Duplicati (Clique direito para UI antiga)","Abrir configuración de Duplicati (Clic derecho para UI antigua)"
"Optimize Database","Optimiser la base de données","Datenbank optimieren","Otimizar banco de dados","Optimizar base de datos"
"optional","optionnel","optional","opcional","opcional"
"overdue","en retard","überfällig","atrasado","retrasado"
"Overdue / Next run","En retard / Prochaine exécution","Überfällig / Nächster Lauf","Atrasado / Próxima execução","Retrasado / Próxima ejecución"
"Overdue Backup","Sauvegarde en retard","Überfällige Sicherung","Backup atrasado","Backup retrasado"
"Overdue Backup Notification Template","Modèle de notification de sauvegarde en retard","Überfällige Sicherungs-Benachrichtigungsvorlage","Modelo de notificação de backup atrasado","Plantilla de notificación de backup retrasado"
"Overdue Backups","Sauvegardes en retard","Überfällige Sicherungen","Backups atrasados","Backups retrasados"
"Overdue Config","Config des retards","Überfälligkeits-Konfig","Config de atrasos","Config de retrasos"
"Overdue configuration","Configuration des retards","Überfälligkeitskonfiguration","Configuração de atrasos","Configuración de retrasos"
"Overdue Details","Détails des retards","Überfälligkeitsdetails","Detalhes de atrasos","Detalles de retrasos"
"Overdue scheduled backups","Sauvegardes planifiées en retard","Überfällige geplante Sicherungen","Backups agendados atrasados","Backups programados retrasados"
"Override (not inheriting)","Remplacer (n'hérite pas)","Überschreiben (nicht erbend)","Substituir (não herdando)","Anular (no heredando)"
"overview","vue d'ensemble","Übersicht","visão geral","resumen"
"Page","Page","Seite","Página","Página"
"Passphrase","Phrase de passe","Passphrase","Frase secreta","Frase de contraseña"
"Passphrase for the private key","Phrase de passe pour la clé privée","Passphrase für den privaten Schlüssel","Frase secreta para a chave privada","Frase de contraseña para la clave privada"
"Password","Mot de passe","Passwort","Senha","Contraseña"
"Password changed successfully","Mot de passe changé avec succès","Passwort erfolgreich geändert","Senha alterada com sucesso","Contraseña cambiada exitosamente"
"Password deleted successfully","Mot de passe supprimé avec succès","Passwort erfolgreich gelöscht","Senha excluída com sucesso","Contraseña eliminada exitosamente"
"Password is required when not auto-generating","Le mot de passe est requis lorsqu'il n'est pas généré automatiquement","Passwort ist erforderlich, wenn nicht automatisch generiert","Senha é obrigatória quando não está sendo gerada automaticamente","La contraseña es obligatoria cuando no se genera automáticamente"
"Password missing or lost?","Mot de passe manquant ou perdu?","Passwort fehlt oder verloren?","Senha esquecida ou perdida?","¿Contraseña faltante o perdida?"
"Password Requirements","Exigences du mot de passe","Passwortanforderungen","Requisitos de senha","Requisitos de contraseña"
"Password Reset","Réinitialisation du mot de passe","Passwort zurücksetzen","Redefinição de senha","Restablecimiento de contraseña"
"Password reset successfully","Mot de passe réinitialisé avec succès","Passwort erfolgreich zurückgesetzt","Senha redefinida com sucesso","Contraseña restablecida exitosamente"
"Password updated successfully","Mot de passe mis à jour avec succès","Passwort erfolgreich aktualisiert","Senha atualizada com sucesso","Contraseña actualizada exitosamente"
"Passwords do not match","Les mots de passe ne correspondent pas","Passwörter stimmen nicht überein","As senhas não correspondem","Las contraseñas no coinciden"
"Passwords match","Les mots de passe correspondent","Passwörter stimmen überein","As senhas coincidem","Las contraseñas coinciden"
"Pause","Pause","Pausieren","Pausar","Pausar"
"Paused successfully","Mis en pause avec succès","Erfolgreich pausiert","Pausado com sucesso","Pausado exitosamente"
"Pending","En attente","Ausstehend","Pendente","Pendiente"
"Percentage","Pourcentage","Prozentsatz","Percentual","Porcentaje"
"Perform database maintenance operations","Effectuer des opérations de maintenance de la base de données","Datenbankwartungsvorgänge durchführen","Realizar operações de manutenção do banco de dados","Realizar operaciones de mantenimiento de base de datos"
"Phone number verified successfully","Numéro de téléphone vérifié avec succès","Telefonnummer erfolgreich verifiziert","Número de telefone verificado com sucesso","Número de teléfono verificado exitosamente"
"Plain SMTP","SMTP simple","Einfaches SMTP","SMTP simples","SMTP simple"
"Please change your password to continue","Veuillez changer votre mot de passe pour continuer","Bitte ändern Sie Ihr Passwort, um fortzufahren","Por favor, altere sua senha para continuar","Por favor, cambie su contraseña para continuar"
"Please ensure all password requirements are met","Veuillez vous assurer que toutes les exigences du mot de passe sont respectées","Bitte stellen Sie sicher, dass alle Passwortanforderungen erfüllt sind","Por favor, certifique-se de que todos os requisitos de senha sejam atendidos","Por favor, asegúrese de que se cumplan todos los requisitos de contraseña"
"Please enter a hostname","Veuillez entrer un nom d'hôte","Bitte geben Sie einen Hostnamen ein","Por favor insira um nome de host","Por favor ingrese un nombre de host"
"Please enter a password","Veuillez entrer un mot de passe","Bitte geben Sie ein Passwort ein","Por favor insira uma senha","Por favor ingrese una contraseña"
"Please enter a password for multiple servers","Veuillez entrer un mot de passe pour plusieurs serveurs","Bitte geben Sie ein Passwort für mehrere Server ein","Por favor insira uma senha para múltiplos servidores","Por favor ingrese una contraseña para múltiples servidores"
"Please enter a server URL to test","Veuillez entrer une URL de serveur à tester","Bitte geben Sie eine Server-URL zum Testen ein","Por favor, insira uma URL do servidor para testar","Por favor ingrese una URL de servidor para probar"
"Please enter a topic before generating QR code","Veuillez entrer un sujet avant de générer le code QR","Bitte geben Sie ein Thema ein, bevor Sie den QR-Code generieren","Por favor, insira um tópico antes de gerar o código QR","Por favor ingrese un tema antes de generar el código QR"
"Please enter a topic before testing","Veuillez entrer un sujet avant de tester","Bitte geben Sie ein Thema ein, bevor Sie testen","Por favor, insira um tópico antes de testar","Por favor ingrese un tema antes de probar"
"Please enter a valid positive number","Veuillez entrer un nombre positif valide","Bitte geben Sie eine gültige positive Zahl ein","Por favor, insira um número positivo válido","Por favor ingrese un número positivo válido"
"Please enter a valid URL","Veuillez entrer une URL valide","Bitte geben Sie eine gültige URL ein","Por favor, insira uma URL válida","Por favor ingrese una URL válida"
"Please enter both password fields","Veuillez remplir les deux champs de mot de passe","Bitte geben Sie beide Passwortfelder ein","Por favor, preencha ambos os campos de senha","Por favor ingrese ambos campos de contraseña"
"Please enter email addresses before testing","Veuillez entrer les adresses e-mail avant de tester","Bitte geben Sie E-Mail-Adressen ein, bevor Sie testen","Por favor, insira endereços de e-mail antes de testar","Por favor ingrese direcciones de correo antes de probar"
"Please fix invalid hostnames before collecting.","Veuillez corriger les noms d'hôte invalides avant de collecter.","Bitte korrigieren Sie ungültige Hostnamen vor dem Sammeln.","Por favor corrija os nomes de host inválidos antes de coletar.","Por favor corrija los nombres de host inválidos antes de recopilar."
"Please fix invalid URLs before saving","Veuillez corriger les URL invalides avant d'enregistrer","Bitte korrigieren Sie ungültige URLs vor dem Speichern","Por favor, corrija URLs inválidas antes de salvar","Por favor corrija las URL inválidas antes de guardar"
"Please select a database backup file to restore.","Veuillez sélectionner un fichier de sauvegarde de base de données à restaurer.","Bitte wählen Sie eine Datenbanksicherungsdatei zur Wiederherstellung aus.","Por favor, selecione um arquivo de backup do banco de dados para restaurar.","Por favor, seleccione un archivo de backup de base de datos para restaurar."
"Port","Port","Port","Porta","Puerto"
"Portuguese (Brazil)","Portugais (Brésil)","Portugiesisch (Brasilien)","Português (Brasil)","Portugués (Brasil)"
"Preferences updated successfully","Préférences mises à jour avec succès","Einstellungen erfolgreich aktualisiert","Preferências atualizadas com sucesso","Preferencias actualizadas exitosamente"
"Previous","Précédent","Vorherige","Anterior","Anterior"
"Priority","Priorité","Priorität","Prioridade","Prioridad"
"Privacy Policy","Politique de confidentialité","Datenschutzerklärung","Política de Privacidade","Política de privacidad"
"Private Key","Clé privée","Privater Schlüssel","Chave privada","Clave privada"
"Processed successfully","Traité avec succès","Erfolgreich verarbeitet","Processado com sucesso","Procesado exitosamente"
"Processed:  backups","Traités:  sauvegardes","Verarbeitet:  Backups","Processados:  backups","Procesados:  backups"
"Profile","Profil","Profil","Perfil","Perfil"
"Profile updated successfully","Profil mis à jour avec succès","Profil erfolgreich aktualisiert","Perfil atualizado com sucesso","Perfil actualizado exitosamente"
"QR Code Generation Failed","Échec de la génération du code QR","QR-Code-Generierung fehlgeschlagen","Falha na geração do código QR","Error en la generación del código QR"
"Queued successfully","Mis en file d'attente avec succès","Erfolgreich in Warteschlange gestellt","Enfileirado com sucesso","Puesto en cola exitosamente"
"Range: 30-365 days","Plage: 30-365 jours","Bereich: 30-365 Tage","Intervalo: 30-365 dias","Rango: 30-365 días"
"Received successfully","Reçu avec succès","Erfolgreich empfangen","Recebido com sucesso","Recibido exitosamente"
"Recipient Email","E-mail du destinataire","Empfänger-E-Mail","E-mail do destinatário","Correo electrónico del destinatario"
"Recipient email must contain '@' symbol","L'e-mail du destinataire doit contenir le symbole '@'","Empfänger-E-Mail muss das Symbol '@' enthalten","O e-mail do destinatário deve conter o símbolo '@'","El correo electrónico del destinatario debe contener el símbolo '@'"
"recipient@example.com","destinataire@exemple.com","empfaenger@beispiel.com","destinatario@exemplo.com","destinatario@ejemplo.com"
"Recommendation","Recommandation","Empfehlung","Recomendação","Recomendación"
"Recommended Action","Action recommandée","Empfohlene Aktion","Ação Recomendada","Acción recomendada"
"Refresh","Actualiser","Aktualisieren","Atualizar","Actualizar"
"Refresh audit logs","Actualiser les journaux d'audit","Audit-Logs aktualisieren","Atualizar logs de auditoria","Actualizar logs de auditoría"
"Refresh Failed","Échec de l'actualisation","Aktualisierung fehlgeschlagen","Falha na atualização","Error de actualización"
"Refresh Interval","Intervalle d'actualisation","Aktualisierungsintervall","Intervalo de atualização","Intervalo de actualización"
"Refresh logs","Actualiser les journaux","Protokolle aktualisieren","Atualizar logs","Actualizar logs"
"Refresh now","Actualiser maintenant","Jetzt aktualisieren","Atualizar agora","Actualizar ahora"
"Refreshed successfully","Actualisé avec succès","Erfolgreich aktualisiert","Atualizado com sucesso","Actualizado exitosamente"
"Register","Créer un compte","Registrieren","Registrar","Registrar"
"Register Account","Créer un compte","Konto registrieren","Registrar conta","Registrar cuenta"
"Reloaded successfully","Rechargé avec succès","Erfolgreich neu geladen","Recarregado com sucesso","Recargado exitosamente"
"Remember me","Se souvenir de moi","Angemeldet bleiben","Lembrar de mim","Recordarme"
"Remove Error","Erreur de suppression","Fehler beim Entfernen","Erro ao remover","Error al eliminar"
"Request accepted","Demande acceptée","Anfrage angenommen","Solicitação aceita","Solicitud aceptada"
"Request timeout - Please try again","Délai d'attente dépassé - Veuillez réessayer","Anfrage-Timeout - Bitte versuchen Sie es erneut","Tempo limite da solicitação - Por favor, tente novamente","Tiempo de espera agotado - Por favor inténtelo de nuevo"
"Require password change on first login","Exiger le changement de mot de passe lors de la première connexion","Passwortänderung bei erster Anmeldung erforderlich","Exigir alteração de senha no primeiro login","Requerir cambio de contraseña en el primer inicio de sesión"
"Require password change on next login","Exiger le changement de mot de passe lors de la prochaine connexion","Passwortänderung bei nächster Anmeldung erforderlich","Exigir alteração de senha no próximo login","Requerir cambio de contraseña en el próximo inicio de sesión"
"required","requis","erforderlich","obrigatório","requerido"
"Resend Code","Renvoyer le code","Code erneut senden","Reenviar código","Reenviar código"
"Reset","Réinitialiser","Zurücksetzen","Redefinir","Restablecer"
"Reset all to default","Tout réinitialiser aux valeurs par défaut","Alle auf Standard zurücksetzen","Redefinir tudo para o padrão","Restablecer todo a predeterminado"
"Reset link sent successfully","Lien de réinitialisation envoyé avec succès","Reset-Link erfolgreich gesendet","Link de redefinição enviado com sucesso","Enlace de restablecimiento enviado exitosamente"
"Reset notifications","Réinitialiser les notifications","Benachrichtigungen zurücksetzen","Redefinir notificações","Restablecer notificaciones"
"Reset Password","Réinitialiser le mot de passe","Passwort zurücksetzen","Redefinir senha","Restablecer contraseña"
"Reset successfully","Réinitialisé avec succès","Erfolgreich zurückgesetzt","Redefinido com sucesso","Restablecido exitosamente"
"Reset this template to default","Réinitialiser ce modèle à la valeur par défaut","Diese Vorlage auf Standard zurücksetzen","Redefinir este modelo para o padrão","Restablecer esta plantilla a predeterminada"
"Reset to Default","Réinitialiser par défaut","Auf Standard zurücksetzen","Redefinir para o Padrão","Restablecer valores predeterminados"
"Reset to Top","Réinitialiser en haut","Zum Anfang zurücksetzen","Redefinir para o topo","Restablecer al inicio"
"Reset token has expired","Le jeton de réinitialisation a expiré","Reset-Token ist abgelaufen","O token de redefinição expirou","El token de restablecimiento ha expirado"
"Resource not found","Ressource introuvable","Ressource nicht gefunden","Recurso não encontrado","Recurso no encontrado"
"Restore Database","Restaurer la base de données","Datenbank wiederherstellen","Restaurar banco de dados","Restaurar base de datos"
"Restore Database?","Restaurer la base de données?","Datenbank wiederherstellen?","Restaurar banco de dados?","¿Restaurar base de datos?"
"Restore Failed","Échec de la restauration","Wiederherstellung fehlgeschlagen","Falha na restauração","Error en la restauración"
"Resume","Reprendre","Fortsetzen","Retomar","Reanudar"
"Resumed successfully","Repris avec succès","Erfolgreich fortgesetzt","Retomado com sucesso","Reanudado exitosamente"
"Retention (days)","Rétention (jours)","Aufbewahrung (Tage)","Retenção (dias)","Retención (días)"
"Retention days must be between 30 and 365","Les jours de rétention doivent être entre 30 et 365","Aufbewahrungstage müssen zwischen 30 und 365 liegen","Os dias de retenção devem estar entre 30 e 365","Los días de retención deben estar entre 30 y 365"
"Retry","Réessayer","Wiederholen","Tentar novamente","Reintentar"
"Retry Backup","Réessayer la sauvegarde","Sicherung wiederholen","Tentar backup novamente","Reintentar backup"
"Retry Count","Nombre de tentatives","Wiederholungsversuche","Contador de Tentativas","Conteo de reintentos"
"Return to Dashboard","Retour au tableau de bord","Zurück zum Dashboard","Voltar ao Painel","Volver al Dashboard"
"Role","Rôle","Rolle","Função","Rol"
"rows","lignes","Zeilen","linhas","filas"
"Save","Enregistrer","Speichern","Salvar","Guardar"
"Save Backup Monitoring Settings","Enregistrer les paramètres de surveillance des sauvegardes","Backup-Überwachungseinstellungen speichern","Salvar configurações de monitoramento de backups","Guardar configuración de monitoreo de backups"
"Save Changes","Enregistrer les modifications","Änderungen speichern","Salvar alterações","Guardar cambios"
"Save Failed","Échec de l'enregistrement","Speichern fehlgeschlagen","Falha ao salvar","Error al guardar"
"Save Password","Enregistrer le mot de passe","Passwort speichern","Salvar senha","Guardar contraseña"
"Save Server","Enregistrer le serveur","Server speichern","Salvar servidor","Guardar servidor"
"Save Settings","Enregistrer les paramètres","Einstellungen speichern","Salvar configurações","Guardar configuración"
"Save Template Settings","Enregistrer les paramètres du modèle","Vorlageneinstellungen speichern","Salvar configurações do modelo","Guardar configuración de plantilla"
"Saved successfully","Enregistré avec succès","Erfolgreich gespeichert","Salvo com sucesso","Guardado exitosamente"
"Schedule","Planification","Zeitplan","Agendamento","Programación"
"Scroll to bottom","Défiler vers le bas","Nach unten scrollen","Rolar para baixo","Desplazarse hacia abajo"
"Scroll to top","Défiler vers le haut","Nach oben scrollen","Rolar para o topo","Desplazarse hacia arriba"
"Search","Rechercher","Suchen","Pesquisar","Buscar"
"sec","sec","Sek","seg","seg"
"Security","Sécurité","Sicherheit","Segurança","Seguridad"
"Select","Sélectionner","Auswählen","Selecionar","Seleccionar"
"Select All","Tout sélectionner","Alle auswählen","Selecionar todos","Seleccionar todo"
"Select all backups for this server","Sélectionner toutes les sauvegardes pour ce serveur","Alle Sicherungen für diesen Server auswählen","Selecionar todos os backups para este servidor","Seleccionar todas las copias de seguridad para este servidor"
"Select all Email notifications","Sélectionner toutes les notifications par e-mail","Alle E-Mail-Benachrichtigungen auswählen","Selecionar todas as notificações por e-mail","Seleccionar todas las notificaciones por correo electrónico"
"Select all NTFY notifications","Sélectionner toutes les notifications NTFY","Alle NTFY-Benachrichtigungen auswählen","Selecionar todas as notificações NTFY","Seleccionar todas las notificaciones NTFY"
"Select all visible backups","Sélectionner toutes les sauvegardes visibles","Alle sichtbaren Sicherungen auswählen","Selecionar todos os backups visíveis","Seleccionar todas las copias de seguridad visibles"
"Select backup","Sélectionner la sauvegarde","Sicherung auswählen","Selecionar backup","Seleccionar backup"
"Select Backup File","Sélectionner le fichier de sauvegarde","Sicherungsdatei auswählen","Selecionar arquivo de backup","Seleccionar archivo de backup"
"Select backup job","Sélectionner le travail de sauvegarde","Sicherungsauftrag auswählen","Selecionar trabalho de backup","Seleccionar trabajo de backup"
"Select backup job to delete","Sélectionner le travail de sauvegarde à supprimer","Zu löschenden Sicherungsauftrag auswählen","Selecionar trabalho de backup para excluir","Seleccionar trabajo de backup a eliminar"
"Select cleanup period","Sélectionner la période de nettoyage","Bereinigungszeitraum auswählen","Selecionar período de limpeza","Seleccionar período de limpieza"
"Select format","Sélectionner le format","Format auswählen","Selecionar formato","Seleccionar formato"
"Select page size","Sélectionner la taille de page","Seitengröße auswählen","Selecionar tamanho da página","Seleccionar tamaño de página"
"Select refresh interval","Sélectionner l'intervalle de rafraîchissement","Aktualisierungsintervall auswählen","Selecionar intervalo de atualização","Seleccionar intervalo de actualización"
"Select Server","Sélectionner le serveur","Server auswählen","Selecionar servidor","Seleccionar servidor"
"Select server to delete","Sélectionner le serveur à supprimer","Zu löschenden Server auswählen","Selecionar servidor para excluir","Seleccionar servidor a eliminar"
"Select sort order","Sélectionner l'ordre de tri","Sortierung auswählen","Selecionar ordem de classificação","Seleccionar orden de clasificación"
"Select start of week","Sélectionner le début de la semaine","Wochenbeginn auswählen","Selecionar início da semana","Seleccionar inicio de la semana"
"Select this backup","Sélectionner cette sauvegarde","Diese Sicherung auswählen","Selecionar este backup","Seleccionar este backup"
"Select time range","Sélectionner la plage temporelle","Zeitbereich auswählen","Selecionar intervalo de tempo","Seleccionar rango de tiempo"
"Select tolerance","Sélectionner la tolérance","Toleranz auswählen","Selecionar tolerância","Seleccionar tolerancia"
"Send notifications via email","Envoyer des notifications par e-mail","Benachrichtigungen per E-Mail senden","Enviar notificações por e-mail","Enviar notificaciones por correo electrónico"
"Send push notifications via NTFY","Envoyer des notifications push via NTFY","Push-Benachrichtigungen über NTFY senden","Enviar notificações push via NTFY","Enviar notificaciones push vía NTFY"
"Send Reset Link","Envoyer le lien de réinitialisation","Reset-Link senden","Enviar link de redefinição","Enviar enlace de restablecimiento"
"Send Test","Envoyer le test","Test senden","Enviar teste","Enviar prueba"
"Send test email","Envoyer un e-mail de test","Test-E-Mail senden","Enviar e-mail de teste","Enviar correo de prueba"
"Send Test Message","Envoyer un message de test","Testnachricht senden","Enviar mensagem de teste","Enviar mensaje de prueba"
"Send test notification","Envoyer une notification de test","Testbenachrichtigung senden","Enviar notificação de teste","Enviar notificación de prueba"
"Sender Name (optional)","Nom de l'expéditeur (optionnel)","Absendername (optional)","Nome do remetente (opcional)","Nombre del remitente (opcional)"
"Sent successfully","Envoyé avec succès","Erfolgreich gesendet","Enviado com sucesso","Enviado exitosamente"
"Server","Serveur","Server","Servidor","Servidor"
"Server  is offline","Le serveur  est hors ligne","Server  ist offline","O servidor  está offline","El servidor  está fuera de línea"
"Server """" deleted","Serveur """" supprimé","Server """" gelöscht","Servidor """" excluído","Servidor """" eliminado"
"Server / Backup","Serveur / Sauvegarde","Server / Sicherung","Servidor / Backup","Servidor / Backup"
"Server added successfully","Serveur ajouté avec succès","Server erfolgreich hinzugefügt","Servidor adicionado com sucesso","Servidor agregado exitosamente"
"Server Address","Adresse du serveur","Serveradresse","Endereço do servidor","Dirección del servidor"
"Server Addresses","Adresses des serveurs","Server-Adressen","Endereços de servidores","Direcciones de servidores"
"Server alias","Alias du serveur","Server-Alias","Apelido do servidor","Alias del servidor"
"Server configuration updated","Configuration du serveur mise à jour","Serverkonfiguration aktualisiert","Configuração do servidor atualizada","Configuración del servidor actualizada"
"Server connected successfully","Serveur connecté avec succès","Server erfolgreich verbunden","Servidor conectado com sucesso","Servidor conectado exitosamente"
"Server connection test passed","Test de connexion au serveur réussi","Server-Verbindungstest bestanden","Teste de conexão do servidor passou","Prueba de conexión del servidor exitosa"
"Server Default","Par défaut du serveur","Server-Standard","Padrão do servidor","Predeterminado del servidor"
"Server deleted successfully","Serveur supprimé avec succès","Server erfolgreich gelöscht","Servidor excluído com sucesso","Servidor eliminado exitosamente"
"Server details updated successfully","Détails du serveur mis à jour avec succès","Server-Details erfolgreich aktualisiert","Detalhes do servidor atualizados com sucesso","Detalles del servidor actualizados exitosamente"
"Server disconnected","Serveur déconnecté","Server getrennt","Servidor desconectado","Servidor desconectado"
"Server Error","Erreur serveur","Serverfehler","Erro do servidor","Error del servidor"
"Server Errors Detected","Erreurs serveur détectées","Serverfehler erkannt","Erros de servidor detectados","Errores de servidor detectados"
"Server ID","ID du serveur","Server-ID","ID do servidor","ID del servidor"
"Server is offline","Le serveur est hors ligne","Server ist offline","O servidor está offline","El servidor está fuera de línea"
"Server is online","Le serveur est en ligne","Server ist online","O servidor está online","El servidor está en línea"
"Server List Updated","Liste des serveurs mise à jour","Serverliste aktualisiert","Lista de servidores atualizada","Lista de servidores actualizada"
"Server Management","Gestion des serveurs","Serververwaltung","Gerenciamento de servidores","Gestión de servidores"
"Server Name","Nom du serveur","Servername","Nome do servidor","Nombre del servidor"
"Server name (a-z)","Nom du serveur (a-z)","Servername (a-z)","Nome do servidor (a-z)","Nombre del servidor (a-z)"
"Server notifications updated","Notifications du serveur mises à jour","Serverbenachrichtigungen aktualisiert","Notificações do servidor atualizadas","Notificaciones del servidor actualizadas"
"Server Offline","Serveur hors ligne","Server offline","Servidor offline","Servidor fuera de línea"
"Server Offline Alert","Alerte serveur hors ligne","Server-Offline-Warnung","Alerta de Servidor Offline","Alerta de servidor fuera de línea"
"Server Online","Serveur en ligne","Server online","Servidor Online","Servidor en línea"
"Server Online Alert","Alerte serveur en ligne","Server-Online-Warnung","Alerta de Servidor Online","Alerta de servidor en línea"
"Server settings updated","Paramètres du serveur mis à jour","Servereinstellungen aktualisiert","Configurações do servidor atualizadas","Configuración del servidor actualizada"
"Server Status","Statut du serveur","Serverstatus","Status do servidor","Estado del servidor"
"Server status updated","Statut du serveur mis à jour","Serverstatus aktualisiert","Status do servidor atualizado","Estado del servidor actualizado"
"Server Type","Type de serveur","Servertyp","Tipo de servidor","Tipo de servidor"
"Server updated successfully","Serveur mis à jour avec succès","Server erfolgreich aktualisiert","Servidor atualizado com sucesso","Servidor actualizado exitosamente"
"ServerID","ID de serveur","Server-ID","ID do servidor","ID del servidor"
"servers","serveurs","Server","servidores","servidores"
"Servers merged successfully","Serveurs fusionnés avec succès","Server erfolgreich zusammengeführt","Servidores mesclados com sucesso","Servidores fusionados exitosamente"
"Servers settings","Paramètres des serveurs","Server-Einstellungen","Configurações de servidores","Configuración de servidores"
"Service temporarily unavailable","Service temporairement indisponible","Dienst vorübergehend nicht verfügbar","Serviço temporariamente indisponível","Servicio temporalmente no disponible"
"Session created successfully","Session créée avec succès","Sitzung erfolgreich erstellt","Sessão criada com sucesso","Sesión creada exitosamente"
"Session expired","Session expirée","Sitzung abgelaufen","Sessão expirou","Sesión expirada"
"Session terminated successfully","Session terminée avec succès","Sitzung erfolgreich beendet","Sessão encerrada com sucesso","Sesión terminada exitosamente"
"Set Additional Destinations","Définir les destinations supplémentaires","Zusätzliche Ziele festlegen","Definir destinos adicionais","Establecer destinos adicionales"
"Set Password","Définir le mot de passe","Passwort festlegen","Definir senha","Establecer contraseña"
"Set the default currency for financial values","Définir la devise par défaut pour les valeurs financières","Standardwährung für Finanzwerte festlegen","Definir a moeda padrão para valores financeiros","Establecer la moneda predeterminada para valores financieros"
"Set the timezone for date/time display","Définir le fuseau horaire pour l'affichage de la date/heure","Zeitzone für Datum/Uhrzeit-Anzeige einstellen","Definir o fuso horário para exibição de data/hora","Establecer la zona horaria para la visualización de fecha/hora"
"Settings","Paramètres","Einstellungen","Configurações","Configuración"
"Settings Deleted","Paramètres supprimés","Einstellungen gelöscht","Configurações excluídas","Configuración eliminada"
"Settings reset to default","Paramètres réinitialisés par défaut","Einstellungen auf Standard zurückgesetzt","Configurações redefinidas para o padrão","Configuración restablecida a valores predeterminados"
"Settings Saved","Paramètres enregistrés","Einstellungen gespeichert","Configurações salvas","Configuración guardada"
"Settings saved successfully","Paramètres enregistrés avec succès","Einstellungen erfolgreich gespeichert","Configurações salvas com sucesso","Configuración guardada exitosamente"
"Settings/Actions","Paramètres/Actions","Einstellungen/Aktionen","Configurações/Ações","Configuración/Acciones"
"Severity","Gravité","Schweregrad","Severidade","Severidad"
"Show","Afficher","Einblenden","Mostrar","Mostrar"
"Show All","Afficher tout","Alle anzeigen","Mostrar todos","Mostrar todo"
"Show Failed","Afficher les échoués","Fehlgeschlagene anzeigen","Mostrar com falha","Mostrar fallidos"
"Show Offline Only","Afficher uniquement hors ligne","Nur Offline anzeigen","Mostrar apenas offline","Mostrar solo fuera de línea"
"Show Online Only","Afficher uniquement en ligne","Nur Online anzeigen","Mostrar apenas online","Mostrar solo en línea"
"Show password","Afficher le mot de passe","Passwort anzeigen","Mostrar senha","Mostrar contraseña"
"Show Pending","Afficher en attente","Ausstehende anzeigen","Mostrar pendentes","Mostrar pendientes"
